Date,Type,Link
2020-10-12 15:50:19,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6721379785588695040
2020-10-12 15:48:37,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6721415587681112064
2020-10-09 15:42:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6718895626022719488
2020-10-01 14:30:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6717229136009682944
2020-10-01 14:28:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6717432309559156737
2020-09-29 15:05:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6716692963503734784
2020-09-29 10:36:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6713781097190236160
2020-09-27 16:17:44,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6716017148516474880
2020-09-25 05:37:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6713193202100273152
2020-09-25 05:13:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6713211931580338176
2020-09-25 05:12:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6713309748487442432
2020-09-25 05:12:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6714979553921576960
2020-09-25 05:10:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6714781732186451968
2020-09-17 15:12:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6712362388601106432
2020-09-17 15:08:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6712327698020151296
2020-09-14 14:35:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6711137339101483008
2020-09-14 00:05:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6709877300390846464
2020-09-13 01:51:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6706937389794893825
2020-09-13 01:26:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6710412164995289088
2020-09-13 01:24:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6709860943465205760
2020-09-13 01:24:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6709689867686805504
2020-08-05 02:37:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6694962324010336256
2020-08-05 02:32:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6694185580282150912
2020-08-05 02:32:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6695688013227270144
2020-07-26 08:20:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6690683793973620736
2020-07-26 07:34:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6689159019313078272
2020-07-26 07:31:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6692682790388989952
2020-07-26 04:59:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6689453843354263552
2019-10-28 17:45:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6593702315746746368
2019-10-23 03:47:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6592103866089725952
2019-10-23 03:47:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6591968512401596416
2019-07-10 02:00:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6546208309706268673
2019-07-10 01:59:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6547490095660924928
2019-07-10 01:59:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6541156071698993152
2019-07-10 01:59:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6552002930625523712
2019-07-10 01:59:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6551882863682387968
2019-07-10 01:58:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6550914972484947968
2019-05-01 04:04:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6528846084121468928
2018-08-29 00:39:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6425619353944842240
2018-08-08 01:54:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6428533686043541504
2018-06-27 04:33:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6416416720822595584
2018-06-27 04:31:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6415674128963117056
2018-06-27 03:33:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6417291957218926592
2018-06-20 01:28:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6410805284935176192
2017-09-10 03:13:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6308304180301824000
